[session 48 finished] 10:05:37;	 mean reward = 0.5982;	 mean loss = 1.5067;	 total reward = 9.5719;	 epsilon = 0.9954
[session 49 finished] 10:05:39;	 mean reward = 0.3589;	 mean loss = 0.3285;	 total reward = 33.3772;	 epsilon = 0.9952
[session 50 finished] 10:05:42;	 mean reward = 0.2716;	 mean loss = 0.2369;	 total reward = 52.4280;	 epsilon = 0.9952
[session 51 finished] 10:05:51;	 mean reward = 0.2282;	 mean loss = 0.1007;	 total reward = 82.1453;	 epsilon = 0.9950
[session 52 finished] 10:05:51;	 mean reward = 0.9812;	 mean loss = 2.3615;	 total reward = 10.7934;	 epsilon = 0.9950
[session 53 finished] 10:05:58;	 mean reward = 0.2462;	 mean loss = 0.1089;	 total reward = 88.6239;	 epsilon = 0.9948
[session 54 finished] 10:05:58;	 mean reward = 0.4856;	 mean loss = 0.9663;	 total reward = 13.5962;	 epsilon = 0.9948
[session 55 finished] 10:06:06;	 mean reward = 0.2376;	 mean loss = 0.1058;	 total reward = 85.5294;	 epsilon = 0.9946
[session 56 finished] 10:06:06;	 mean reward = 1.1302;	 mean loss = 3.4600;	 total reward = 7.9113;	 epsilon = 0.9946
[session 57 finished] 10:06:16;	 mean reward = 0.1997;	 mean loss = 0.0894;	 total reward = 71.8974;	 epsilon = 0.9944
[session 58 finished] 10:06:24;	 mean reward = 0.2427;	 mean loss = 0.1612;	 total reward = 85.4475;	 epsilon = 0.9944
[session 59 finished] 10:06:27;	 mean reward = 0.3249;	 mean loss = 0.2976;	 total reward = 39.6408;	 epsilon = 0.9942
[session 60 finished] 10:06:35;	 mean reward = 0.1827;	 mean loss = 0.0875;	 total reward = 65.7792;	 epsilon = 0.9942
[session 61 finished] 10:06:39;	 mean reward = 0.2399;	 mean loss = 0.1961;	 total reward = 48.4520;	 epsilon = 0.9940
[session 62 finished] 10:06:47;	 mean reward = 0.2027;	 mean loss = 0.0840;	 total reward = 72.9845;	 epsilon = 0.9940
[session 63 finished] 10:06:51;	 mean reward = 0.2968;	 mean loss = 0.2342;	 total reward = 55.4974;	 epsilon = 0.9938
[session 64 finished] 10:06:55;	 mean reward = 0.2910;	 mean loss = 0.2403;	 total reward = 54.4233;	 epsilon = 0.9938
[session 65 finished] 10:06:57;	 mean reward = 0.3503;	 mean loss = 0.3342;	 total reward = 31.8758;	 epsilon = 0.9936
[session 66 finished] 10:06:58;	 mean reward = 0.3432;	 mean loss = 0.4159;	 total reward = 24.0242;	 epsilon = 0.9936
[session 67 finished] 10:07:06;	 mean reward = 0.2347;	 mean loss = 0.0964;	 total reward = 84.5026;	 epsilon = 0.9934
[session 68 finished] 10:07:14;	 mean reward = 0.2087;	 mean loss = 0.0954;	 total reward = 75.1181;	 epsilon = 0.9934
[session 69 finished] 10:07:21;	 mean reward = 0.2644;	 mean loss = 0.1698;	 total reward = 86.7348;	 epsilon = 0.9932
[session 70 finished] 10:07:30;	 mean reward = 0.2274;	 mean loss = 0.0912;	 total reward = 81.8626;	 epsilon = 0.9932
[session 71 finished] 10:07:37;	 mean reward = 0.2303;	 mean loss = 0.0965;	 total reward = 82.9240;	 epsilon = 0.9930
[session 72 finished] 10:07:39;	 mean reward = 0.3043;	 mean loss = 0.3513;	 total reward = 28.3005;	 epsilon = 0.9930
[session 73 finished] 10:07:44;	 mean reward = 0.2918;	 mean loss = 0.2152;	 total reward = 66.2397;	 epsilon = 0.9928
[session 74 finished] 10:07:49;	 mean reward = 0.2058;	 mean loss = 0.1746;	 total reward = 54.1173;	 epsilon = 0.9928
[session 75 finished] 10:07:53;	 mean reward = 0.2352;	 mean loss = 0.1783;	 total reward = 52.6893;	 epsilon = 0.9926
[session 76 finished] 10:07:54;	 mean reward = 0.4018;	 mean loss = 0.5692;	 total reward = 19.6882;	 epsilon = 0.9926
[session 77 finished] 10:08:02;	 mean reward = 0.2461;	 mean loss = 0.1120;	 total reward = 88.6000;	 epsilon = 0.9924
[session 78 finished] 10:08:09;	 mean reward = 0.2243;	 mean loss = 0.1011;	 total reward = 80.7613;	 epsilon = 0.9924
[session 79 finished] 10:08:17;	 mean reward = 0.1979;	 mean loss = 0.0748;	 total reward = 71.2384;	 epsilon = 0.9922
[session 80 finished] 10:08:19;	 mean reward = 0.3793;	 mean loss = 0.3951;	 total reward = 36.0326;	 epsilon = 0.9922
[session 81 finished] 10:08:19;	 mean reward = 2.6047;	 mean loss = 11.9098;	 total reward = 5.2094;	 epsilon = 0.9920
[session 82 finished] 10:08:25;	 mean reward = 0.2029;	 mean loss = 0.0809;	 total reward = 73.0569;	 epsilon = 0.9920
[session 83 finished] 10:08:25;	 mean reward = 3.4480;	 mean loss = 13.8142;	 total reward = 6.8959;	 epsilon = 0.9918
[session 84 finished] 10:08:32;	 mean reward = 0.2344;	 mean loss = 0.0893;	 total reward = 84.3850;	 epsilon = 0.9918
[session 85 finished] 10:08:34;	 mean reward = 0.3465;	 mean loss = 0.3742;	 total reward = 31.8759;	 epsilon = 0.9916
[session 86 finished] 10:08:36;	 mean reward = 0.2825;	 mean loss = 0.3047;	 total reward = 29.6575;	 epsilon = 0.9916
[session 87 finished] 10:08:45;	 mean reward = 0.2349;	 mean loss = 0.0996;	 total reward = 84.5544;	 epsilon = 0.9914
[session 88 finished] 10:08:46;	 mean reward = 0.6116;	 mean loss = 1.1845;	 total reward = 15.9025;	 epsilon = 0.9914
[session 89 finished] 10:08:52;	 mean reward = 0.2045;	 mean loss = 0.0777;	 total reward = 73.6023;	 epsilon = 0.9912
[session 90 finished] 10:08:57;	 mean reward = 0.2041;	 mean loss = 0.1497;	 total reward = 61.4461;	 epsilon = 0.9912
[session 91 finished] 10:09:06;	 mean reward = 0.2244;	 mean loss = 0.0877;	 total reward = 80.7838;	 epsilon = 0.9910
[session 92 finished] 10:09:09;	 mean reward = 0.3112;	 mean loss = 0.2303;	 total reward = 60.3770;	 epsilon = 0.9910
[session 93 finished] 10:09:15;	 mean reward = 0.2649;	 mean loss = 0.1892;	 total reward = 70.9839;	 epsilon = 0.9908
[session 94 finished] 10:09:22;	 mean reward = 0.2146;	 mean loss = 0.0980;	 total reward = 77.2563;	 epsilon = 0.9908
[session 95 finished] 10:09:24;	 mean reward = 0.3004;	 mean loss = 0.3854;	 total reward = 26.4359;	 epsilon = 0.9906
[session 96 finished] 10:09:31;	 mean reward = 0.2450;	 mean loss = 0.1106;	 total reward = 88.2098;	 epsilon = 0.9906
